Invention/Discovery,Name of the Inventor,Year of Invention
Black holes,John Michell and Albert Einstein,"1783 and 1916, respectively"
Exoplanets,Aleksander Wolszczan and Dale Frail,1992
Continental Drift,Alfred Wegener,1912
The Electron,J.J. Thomson,1897
Radioactivity,"Marie Curie, Pierre Curie, and Henri Becquerel",1896-1898
The Neutron,James Chadwick,1932
The Proton,Ernest Rutherford,1917
Cosmic Microwave Background Radiation,Arno Penzias and Robert Wilson,1965
Gravitational Waves,LIGO Scientific Collaboration,2015
Ozone Hole,"Joe Farman, Brian Gardiner, and Jonathan Shanklin",1985
Greenhouse Effect,"Joseph Fourier, John Tyndall, and Svante Arrhenius","1824, 1861, and 1896, respectively"
Dark Matter,Fritz Zwicky,1933
Dark Energy,"Saul Perlmutter, Brian P. Schmidt, and Adam G. Riess",1998
First Supermassive Black Hole,Maarten Schmidt,1963
First Black Hole Merger,LIGO Scientific Collaboration,2015
First Gravitational Lens,J. H. Oort and F. Zwicky,1937
AdhesiveTape,RichardDrew,1930
Airplane,Orville&WilburWright,1930
AlcoholThermometer,GabrielFahrenheit,1709
AstroTurf,J.Faria&R.Wright,1965
BallpointPen,LaszloBiro,1938
Barometer(mercury),EvangelistaTorricelli,1643
Battery(electric),AlessandroVolta,1800
Bicycle,KarlvonSauerbronn,1816
BifocalSpectacles,BenjaminFranklin,1784
Bikini,JacquesHeim/LouisReard,1946
Camera,GeorgeEastman,1888
CanOpener,EzraWarner,1858
CarbonatedWater,JosephPriestly,1767
CelsiusScale,AndersCelsius,1742
Coca-Cola,Dr.JohnPemberton,1886
CompactDisk,JamesRussell,1965
CottonGin,EliWhitney,1793
CylinderLock,LinusYaleJr.,1862
Decimals,SimonStevin,1585
Dishwasher,JosephineG.Cochran,1886
Dynamite,AlfredNobel,1866
ElectricLightBulb,ThomasEdison,1878
ElectricShaver,JacobSchick,1928
Elevator,ElishaOtis,1853/td>
FerrisWheel,G.W.G.FerrisJr.,1893
FrozenFood,ClarenceBirdseye,1925
FountainPen,LewisE.Waterman,1884
GeigerCounter,HansGeiger,1913
Guillotine,Dr.JosephI.Guillotin,1792
Helicopter,IgorSikorsky,1939
Holography,D.Gabor,1965
HotAirBalloon,MontgolfierBrothers,1783
Hovercraft,ChristopherCockerell,1955
Iron(electric),HenryW.Seeley,1882
Jeans,LeviStrauss,1873
JetEngine,FrankWhittle,1930
Kaleidoscope,DavidBrewster,1817
KelvinScale,LordW.T.Kelvin,1848
Laser(ruby),TheodoreMaiman,1960
LightningConductor,BenjaminFranklin,1752
Linoleum,FrederickWalton,1861
Lithography,AloisSenfelder,1796
MachineGun,RichardGattling,1862
Mayonnaise,DukedeRichelieu'schef,1756
Microscope,AnthonyvanLeeuwenhoek,1677
Miners'SafetyLamp,SirHumphryDavy,1815
MovableType,JohannGuttenberg,1453
Nylon,WallaceCarothers,1935
OpticalDisc,DavidPaulGregg,1958
Parachute,Louis-SebastianLenormand,1783
PendulumClock,ChristianHuygens,1656
Phonograph,ThomasEdison,1877
PhosphorusMatches,JohnWalker,1827
PneumaticTyre,JohnDunlop,1888
PressureCooker,DenisPapin,1675
Q-Tips,LeoGerstenzang,1920's
Radio,GuglielmoMarconi,1895
Refrigerator,FerdinandCarre,1859
Revolver,SamuelColt,1836
Rifle,AugustKotter,1520
RocketEngine,RobertGoddard,1926
RollerSkates,JosephMerlin,1760
SafetyPin,WalterHunt,1895
SafetyRazor,KingGillette,1859
SewingMachine(lockstitch),EliasHowe,1846
Sextant,JohnCampbell,1757
SleepingCar,GeorgePullman,1857
SmallpoxVaccination,EdwardJenner,1796
Steamboat,RobertFulton,1807
SteamEngine,ThomasSavery,1698
Submarine,TJohnHolland,1898
TeaBag,ThomasSullivan,1908
Teflon,SamuelMorse,1837
Telegraph,EliasHowe,1846
Telegraph,GuglielmoMarconi,1895
Telephone,AlexanderGrahamBell,1876
Telescope,GalileoGalilei,1609
Television,JohnLogieBaird,1925
Umbrella(steelribbed),SamuelFox,1852
VacuumCleaner,H.CecilBooth,1901
VulcanisedRubber,CharlesGoodyear,1839
WashingMachine(rotary),HamiltonSmith,1858
Xerography,ChesterFloydCarlson,1937
YellowPages,ReubenH.Donnelly,1886
ZipFastener,WhitcombJudson,1893
Automatic Calculator,Wilhelm Schickard,1623
Air Conditioner,Willis Carrier,1902
Anemometer,Leon Battista Alberti,1450
Animation,J. Stuart Blackton,—
Atom Bomb,Julius Robert Oppenheimer,1945
Aspirin,Dr. Felix Hoffman,1899
Airplane,Wilber and Orville Wright,1903
Adhesive tape,Richard G. Drew,1923
Bifocal Lens,Benjamin Franklin,1779
Barometer,Evangelista Torricelli,1643
Barbed Wire,Joseph F. Glidden,1873
Blood Group,Karl Lansdsteiner,1900s
Ball Point Pen,John Loud,—
Bicycle Tyres,John Boyd Dunlop,1888
Pedal Driven Bicycle,Kirkpatrick Macmillan,1839
Celluloid,Alexander Parkes,1861
Chloroform,Sir James Young Simpson,—
Cine Camera,Wm. Friese-Greene,1889
Circulation of blood,William Harvey,1628
Clock Mechanical,Hsing and Ling-Tsan,1725
Diesel Engine,Rudolf Diesel,1892
Centigrade Scale,Anders Celsius,1742
Chlorine,Carl Wilhelm Scheele,1774
Dynamite,Alfred B. Nobel,1867
Diesel Engine,Rudolf Diesel,1895
Electric stove/cooker,William S. Hadaway,1896
Electroscope,William Gilbert,1600s
Electric Fan,Schuyler Wheeler,1882
Electric Battery,Volta,1800
Elevator,Elisha G. Otis,1852
Electric Motor (DC),Thomas Davenport,1873
Electromagnet,William Sturgeon,1824
Fountain Pen,Petrache Poenaru,1827
Fluorine,André-Marie Ampère,1810
Gramophone,Thomas Edison,1878
Hydrogen,Henry Cavendish,1766
Helicopter,Igor Sikorsky,1939
Hovercraft,Christopher Cockerell,1959
Hot Air Balloon,Josef & Etienne Montgolfier,1783
Helium,Jules Janssen,1868
Insulin,Sir Frederick Banting,1923
Jet Engine,Hans Von Ohain,1936
Lightning Conductor,Benjamin Franklin,1752
Locomotive,George Stephenson,1804
Laser,Theodore Maiman,1960
Light Bulb,Thomas Edison,1854
Motorcycle,Gottlieb Daimler,1885
Microscope,Zacharis Janssen,1590
Microphone,Alexander Graham Bell,1876
Machine Gun,Richard Gatling,1861
Neon Lamp,Georges Claude,1915
Oxygen,Joseph Priestley,1774
Ozone,Christian Schonbein,1839
Piano,Bartolomeo Cristofori,1700
Printing Press,Johannes Gutenberg,1440
Parachute,Louis-Sebastien Lenormand,1783
Polio Vaccine,Jonas Edward Salk,—
Periodic Table,Dmitri Mendeleev,1869
Penicillin,Alexander Fleming,1928
Pacemaker,Rune Elmqvist,1952
Petrol for Motor Car,Karl Benz,1885
Refrigerator,William Cullen,1748
Radium,Marie & Pierre Curie,1898
Rubber (vulcanized),Charles Goodyear,1841
Rocket Engine,Robert H. Goddard,1926
Radio,Guglielmo Marconi,1894
Richter Scale,Charles Richter,1935
Ship (Turbine),Charles Parsons,1894
Steam Ship,Robert Fulton,1807
Steam Boat,Robert Fulton,1786
Submarine,Cornelis Drebbel,1620
Automatic Calculator,Wilhelm Schickard,1623
Air Conditioner,Willis Carrier,1902
Anemometer,Leon Battista Alberti,1450
Animation,J. Stuart Blackton,—
Atom Bomb,Julius Robert Oppenheimer,1945
Aspirin,Dr. Felix Hoffman,1899
Airplane,Wilber and Orville Wright,1903
Adhesive tape,Richard G. Drew,1923
Bifocal Lens,Benjamin Franklin,1779
Barometer,Evangelista Torricelli,1643
Barbed Wire,Joseph F. Glidden,1873
Blood Group,Karl Lansdsteiner,1900s
Ball Point Pen,John Loud,—
Bicycle Tyres,John Boyd Dunlop,1888
Pedal Driven Bicycle,Kirkpatrick Macmillan,1839
Celluloid,Alexander Parkes,1861
Chloroform,Sir James Young Simpson,—
Cine Camera,Wm. Friese-Greene,1889
Circulation of blood,William Harvey,1628
Clock Mechanical,Hsing and Ling-Tsan,1725
Diesel Engine,Rudolf Diesel,1892
Centigrade Scale,Anders Celsius,1742
Chlorine,Carl Wilhelm Scheele,1774
Dynamite,Alfred B. Nobel,1867
Diesel Engine,Rudolf Diesel,1895
Electric stove/cooker,William S. Hadaway,1896
Electroscope,William Gilbert,1600s
Electric Fan,Schuyler Wheeler,1882
Electric Battery,Volta,1800
Elevator,Elisha G. Otis,1852
Electric Motor (DC),Thomas Davenport,1873
Electromagnet,William Sturgeon,1824
Fountain Pen,Petrache Poenaru,1827
Fluorine,André-Marie Ampère,1810
Gramophone,Thomas Edison,1878
Hydrogen,Henry Cavendish,1766
Helicopter,Igor Sikorsky,1939
Hovercraft,Christopher Cockerell,1959
Hot Air Balloon,Josef & Etienne Montgolfier,1783
Helium,Jules Janssen,1868
Insulin,Sir Frederick Banting,1923
Jet Engine,Hans Von Ohain,1936
Lightning Conductor,Benjamin Franklin,1752
Locomotive,George Stephenson,1804
Laser,Theodore Maiman,1960
Light Bulb,Thomas Edison,1854
Motorcycle,Gottlieb Daimler,1885
Microscope,Zacharis Janssen,1590
Microphone,Alexander Graham Bell,1876
Machine Gun,Richard Gatling,1861
Neon Lamp,Georges Claude,1915
Oxygen,Joseph Priestley,1774
Ozone,Christian Schonbein,1839
Piano,Bartolomeo Cristofori,1700
Printing Press,Johannes Gutenberg,1440
Parachute,Louis-Sebastien Lenormand,1783
Polio Vaccine,Jonas Edward Salk,—
Periodic Table,Dmitri Mendeleev,1869
Penicillin,Alexander Fleming,1928
Pacemaker,Rune Elmqvist,1952
Petrol for Motor Car,Karl Benz,1885
Refrigerator,William Cullen,1748
Radium,Marie & Pierre Curie,1898
Rubber (vulcanized),Charles Goodyear,1841
Rocket Engine,Robert H. Goddard,1926
Radio,Guglielmo Marconi,1894
Richter Scale,Charles Richter,1935
Ship (Turbine),Charles Parsons,1894
Steam Ship,Robert Fulton,1807
Steam Boat,Robert Fulton,1786
Submarine,Cornelis Drebbel,1620
List of Inventions & Discoveries,,
Automatic Calculator,Wilhelm Schickard,1623
Air Conditioner,Willis Carrier,1914
Amplitude Modulation,Reginald Fessenden,-
Anemometer,Leon Battista Alberti,1450
Animation,Emile Reynaud,1892
Atom Bomb,Julius Robert Oppenheimer,1945
Aspirin,Dr. Felix Hoffman,1899
Airplane,Wilber and Orville Wright,1903
Adhesive tape,Richard G. Drew,1923
Bifocal Lens,Benjamin Franklin,1784
Barometer,Evangelista Torricelli,-
Barbed Wire,Joseph F. Glidden,1873
Blood Group,Karl Lansdsteiner,1900
Ball Point Pen,John Loud,1888
Bicycle Tyres,John Boyd Dunlop,1888
Bicycle,Kirkpatrick Macmillan,1839
Celluloid,Alexander Parkes,1861
Chloroform,E. Soberran,1831
Cine Camera,Wm. Friese-Greene,1889
Circulation of blood,William Harvey,1628
Clock Mechanical,Hsing and Ling-Tsan,1725
Diesel Engine,Rudolf Diesel,1892
Centigrade Scale,Anders Celsius,1742
Chlorine,Karl Wilhelm Scheele,1774
Dynamite,Alfred B. Nobel,1867
Diesel Engine,Rudolf Diesel,1895
Electric stove/cooker,William S. Hadaway,1896
Electroscope,Jean Nollet,1748
Electric Fan,Wheeler,1882
Electric Battery,Volta,1800
Elevator,Elisha G. Otis,1852
Electric Motor (DC),Zenobe Gramme,1873
Electromagnet,William Sturgeon,1824
Fountain Pen,Lewis Edson Waterman,1884
Fluorine,Ferdinand Frederick Henri Moissan,1886
Gramophone,Thomas Edison,1878
Hydrogen,Henry Cavendish,1766
Helicopter,Igor Sikorsky,1939
Hovercraft,Christopher Cockerell,1959
Hot Air Balloon,Josef & Etienne Montgolfier,1783
Helium,William Ramsay,1868
Insulin,Sir Frederick Banting,1923
Jet Engine,Hans Von Ohain,1936
Lightning Conductor,Benjamin Franklin,1752
Locomotive,Richard Trevithick,1804
Laser,Dr. Charles H. Townes,1960
Light Bulb,Heinrich Goebel,1854
Motorcycle,Edward Butler,1848
Microscope,Zacharis Janssen,1590
Microphone,Alexander Graham Bell,1876
Machine Gun,Richard Gaffing,1861
Neon Lamp,Georges Claude,1915
Oxygen,Antoine Laurent Lavoisier,1775
Ozone,Christian Schonbein,1839
Piano,Bartolomeo Cristofori,1700
Printing Press,Johannes Gutenberg,1440
Parachute,Jean Pierre Blanchard,1785
Polio Vaccine,Jonas Edward Salk,-
Periodic Table,Dmitri Mendeleev,1869
Penicillin,Alexander Fleming,1928
Pacemaker,Dr. Paul Zoll,1952
Petrol for Motor Card,Karl Benz,1885
Refrigerator,James Harrison,1851
Radium,Marie & Pierre Curie,1898
Radar,Dr. Albert H. Taylor & Leo C. Young,1922
Rubber (vulcanized),Charles Goodyear,1841
Rocket Engine,Robert H. Goddard,1926
Radio,Guglielmo Marconi,1894
Richter Scale,Charles Richter,1935
Ship (Turbine),Charles Parsons,1894
Steam Ship,J.C Perier,1775
Steam Boat,John Fitch,1786
Safety Match,J.E. Lundstrom,1855
Submarine,David Bushnell,1776
Stethoscope,Rene Laennec,1816
Saxophone,Adolphe Sax,1846
Sewing Machine,Elias Howe,1846
Steam-Powered Airship,Henri Giffard,1852
Soft Contact lenses,Otto Wichterle,1961
Synthesizer,Dr. Robert Arthur Moog,1964
Thermometer,Galileo,1593
Theory of Evolution,Charles Darwin,1858
Typewriter,Peter Mitterhofer,1841
Transistors,"John Bardeen, William Shockley & Walter
Brattain",1948
Telephone,Graham Bell,1874
Valve. Radio,Sir J.A Fleming,1904
Vacuum Cleaner,Ives McGuffey,1869
Vitamin A,Frederick Gowland Hpokins,1912
Vitamin B,Christiaan Eijkman,1897
Vitamin C,Albert Szent-Gyorgi,-
Vitamin K,Henrik Dam,1929
Vitamin E,"Herbert McLean Evans & Katherine Scott
Bishop",
Windshield wipers,Mary Anderson,1903
World Wide Web,Tim Berners Lee with Robert Cailliau,1989
X-ray,Wilhelm Conrad Roentgen,1895
Xerox Machine,Chester Carlson,1928
Telephone,Alexander Graham Bell,1876
Radio,Guglielmo Marconi,1895
Television,Philo Farnsworth,1927
Refrigerator,Jacob Perkins,1834
Automobile,Karl Benz,1886
Airplane,The Wright brothers (Orville and Wilbur Wright),1903
Steam engine,James Watt,1765
Penicillin,Alexander Fleming,1928
Vaccines,Edward Jenner,1796
MRI,Raymond Damadian,1977
DNA,James Watson and Francis Crick,1953
Genetic engineering,Paul Berg,1972
Microscope,Zacharias Janssen and Hans Janssen,1590
Telescope,Hans Lippershey,1608
Mobile phones,Martin Cooper,1973
Printing press,Johannes Gutenberg,1440
Photography,Joseph Nicéphore Niépce,1826
Film,George Eastman,1888
Laser,Theodore H. Maiman,1960
Transistor,"William Shockley, John Bardeen and Walter Brattain",1947
GPS,"Roger L. Easton, Ivan A. Getting and Bradford Parkinson",1978
Atomic bomb,J. Robert Oppenheimer and team,1945
Nuclear power,Enrico Fermi and team,1942
Artificial heart,Robert Jarvik,1982
Artificial intelligence,"John McCarthy, Marvin Minsky, Allen Newell and Herbert A. Simon",1956
Virtual reality,Ivan Sutherland,1968
Quantum mechanics,"Max Planck, Albert Einstein, Werner Heisenberg, Erwin Schrödinger and others",Early 20th century
Superconductivity,Heike Kamerlingh Onnes,1911
Radar,Robert Watson,1935
Microwave oven,Percy Spencer,1945
Telephone,Alexander Graham Bell,1876
Radio,Guglielmo Marconi,1895
Television,Philo Farnsworth,1927
Refrigerator,Jacob Perkins,1834
Automobile,Karl Benz,1886
The structure of DNA,James Watson and Francis Crick,1953
Evolution by natural selection,Charles Darwin,1859
The laws of thermodynamics,"Sadi Carnot, James Prescott Joule, Rudolf Clausius",1824-1865
The theory of relativity,Albert Einstein,1905-1915
The periodic table,Dmitri Mendeleev,1869
Plate tectonics,Alfred Wegener,1912
The Big Bang theory,Georges Lemaître,1927
Quantum mechanics,"Max Planck, Werner Heisenberg, Erwin Schrödinger, Paul Dirac",1900-1930s
Higgs Boson,Peter Higgs and François Englert,2012
Black holes,John Michell and Albert Einstein,"1783 and 1916, respectively"
Exoplanets,Aleksander Wolszczan and Dale Frail,1992
Continental Drift,Alfred Wegener,1912
The Electron,J.J. Thomson,1897
Radioactivity,"Marie Curie, Pierre Curie, and Henri Becquerel",1896-1898
The Neutron,James Chadwick,1932
The Proton,Ernest Rutherford,1917
Cosmic Microwave Background Radiation,Arno Penzias and Robert Wilson,1965
Gravitational Waves,LIGO Scientific Collaboration,2015
Ozone Hole,"Joe Farman, Brian Gardiner, and Jonathan Shanklin",1985
Greenhouse Effect,"Joseph Fourier, John Tyndall, and Svante Arrhenius","1824, 1861, and 1896, respectively"
Dark Matter,Fritz Zwicky,1933
Dark Energy,"Saul Perlmutter, Brian P. Schmidt, and Adam G. Riess",1998
First Supermassive Black Hole,Maarten Schmidt,1963
First Black Hole Merger,LIGO Scientific Collaboration,2015
First Gravitational Lens,J. H. Oort and F. Zwicky,1937
