Year of Invention,Name of Inventor,Name of Scientific Discovery,Nationality
1960,Leakeys and others,Discoveries of fossils of early Homo in East Africa,Kenya
1961,"triplet code proposed Cricket al.",Nature of the genetic,United Kingdom
1963,Lorenz,Deterministic chaos: the butterfly effect,Austria
1963,Schmidt,Discovery of quasars,Netherlands
1963,"Vine & Matthews",Explanation for magnetic stripes on the sea floor: seafloor spreading,United Kingdom
1964,"Gell-Mann; Zweig",Existence of quarks proposed,United States; United States
1964,Hamilton,Genetic explanations proposed for animal social behavior,United Kingdom
1965,"Penzias & Wilson",Discovery of cosmic microwave background radiation,United States
1967,"Manabe & Wetherald",First warning of an anthropogenic ""greenhouse effect""",Japan; United States
1967,"McKenzie & Parker; Morgan",Theory of plate tectonics,United States; United States; United States
1967,"Weinberg; Glashow; Salam","Electroweak theory, first unification of fundamental forces",United States; United States; Pakistan
1967,Margulis,Proposal that certain cell organelles are descended from free-living bacteria,United States
1968,"Hewish et al.",Pulsars discovered,United Kingdom
1968,"the neutral theory proposed Kimura",Theory of random molecular evolution,Japan
1970,"Baltimore; Temin & Mizutani",Reverse transcriptase discovered,United States; United States; Japan
1973,"Klebesadel, Strong, and Olsen",Gamma-ray bursts from outer space,United States
1973,"Cohen, Boyer, and Berg",Advent of genetic engineering techniques,United States
1973,Lauterbur,Invention of magnetic resonance imaging,United States
1974,"Molina & Rowland",Identification of CFCs as threat to ozone layer,Mexico; United States
1974,"Zinkernagel & Doherty",Principles of cell-mediated immunity unveiled,Switzerland; Australia
1974,"Johanson & Taieb",Discovery of ""Lucy"" Australopithecus afarensis,United States; France
1974,"Georgi & Glashow",First Grand Unified Theory of particle physics,United States
1975,"Köhler & Milstein",Monoclonal antibodies created,Germany; United Kingdom
1976,"Neher & Sakmann",Patch-clamp technique for studying single ion channels,Germany
1977,Sanger et al.,First complete DNA sequence of an organism,United Kingdom
1977,Corliss et al.,Discovery of deep-sea hydrothermal vents,United States
1978,Rubin,Observation of astronomical dark matter,United States
1980,"Nüsslein-Volhard & Wieschaus",Unveiling of genetic controls on animal body-plan development,Germany
1980,"""cancer gene"" identified Weinberg",First human oncogene,United States
1980,"Impact hypothesis for extinctions at the CretaceousTertiary boundary Alvarezet al.",Impact hypothesis for extinctions at the CretaceousTertiary boundary,United States
1981,"Green & Schwarz",Superstring theory,United Kingdom; United States
1982,Prusiner,Prion hypothesis proposed,United States
1983,"Barré-Sinoussiet al.",AIDS virus identified,France
1985,Jeffreys,Genetic fingerprinting invented,United Kingdom
1985,"Farman et al.",Ozone hole discovered,United Kingdom
1985,"Kroto et al.",Discovery of buckminsterfullerene,United Kingdom; United States; United States
1986,"Bednorz & Müller",First high-temperature superconductor,Switzerland
1987,"Cann, Stoneking, and Wilson",Formulation of the ""Out of Africa"" hypothesis of human evolution using molecular data,United States
1995,"Cornell & Wieman",Bose-Einstein condensation of trapped atoms,United States
1995,"Mayor & Queloz",First extrasolar planet identified,Switzerland
1997,Wilmut et al.,Dolly the sheep created by cloning,United Kingdom
2001,"International Human Genome Sequencing Consortium; Venter et al.",Publication of near-complete sequences of the human genome,International; United States
